@dataValueAttribs												
precip	0	9999	mm									
@dataSetAttribs												
missingDataVal	-9999											
dataStart	01.01.1985 00:00											
dataEnd	31.12.2006 00:00											
tres	d											
@statAttribVal												
name	Chaurikhark	Sallery	Pakarnas	Chialsa	Aisealukhar	Okhaldunga	Manebhanjyang	Kuruleghat	Sirwa	station_9	station_10	station_14
01.09.1985 00:00	20.9	6	29.5	10	28.4	61	18	0	25	15.779603	12.12356186	15.04948044
02.09.1985 00:00	15.7	31	36	43.7	4.9	20.8	22.2	0	2.8	13.38387108	3.785074711	13.16442108
03.09.1985 00:00	32.5	6.5	16.3	5.3	26	48.4	39.5	15.8	25.5	23.82416153	6.815908432	20.68129349
04.09.1985 00:00	93.1	40	44.5	36.8	0	61.7	32.7	17	45.6	54.81460571	19.64511299	51.71116638
05.09.1985 00:00	20	44	58.8	63.4	0	81	41.2	110	52.7	20.55863953	9.389144897	20.79804039
06.09.1985 00:00	29.1	3.5	0.6	14.3	0	14.5	10	0	8.9	17.19224548	5.817462921	16.95179749
07.09.1985 00:00	2.6	0	0	0	0	0.2	0	0	0	1.346636653	0.511273682	1.863442183
08.09.1985 00:00	1.7	0	0	0	9.4	0.2	0	0	0	0.939723969	0.337153643	1.290475249
09.09.1985 00:00	7	0	0	1.8	14.5	3.2	0	0	5	3.744055033	1.403665066	3.744084597
10.09.1985 00:00	15	6.5	10	15.3	3.9	1.2	0	0	4	8.445417404	3.114881992	8.700600624
